4.18,4.18,4.18,4.20
4.18,4.17,4.18,4.19
4.18,4.18,4.18,4.21
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.19,4.20
4.18,4.18,4.18,4.21
4.18,4.18,4.18,4.21
4.18,4.18,4.18,4.21
4.18,4.18,4.18,4.21
4.18,4.17,4.18,4.19
4.16,4.14,4.16,4.15
4.04,4.05,4.08,3.83
3.94,3.78,4.06,3.44
4.04,3.99,4.07,4.15
4.04,4.02,4.02,4.03
4.06,4.03,4.06,4.08
4.06,4.03,4.05,4.04
4.07,4.05,4.07,4.08
4.09,4.08,4.10,4.11
4.10,4.09,4.10,4.11
4.10,4.09,4.10,4.10
4.10,4.09,4.10,4.09
4.10,4.09,4.10,4.10
4.10,4.10,4.11,4.11
4.11,4.10,4.11,4.11
4.11,4.10,4.11,4.12
4.11,4.10,4.11,4.12
4.08,4.07,4.06,4.07
4.09,4.08,4.08,4.09
4.09,4.08,4.08,4.09
4.07,4.07,4.08,4.07
4.08,4.06,4.07,4.06
4.07,4.06,4.07,4.04
4.06,4.04,4.05,3.99
4.06,4.03,4.05,4.04
4.06,4.04,4.06,4.04
4.08,4.06,4.08,4.10
4.09,4.08,4.09,4.10
4.09,4.08,4.09,4.09
4.08,4.07,4.09,4.06
4.06,4.04,4.06,4.02
4.04,4.02,4.03,3.98
4.04,4.02,4.03,4.03
4.05,4.02,4.05,4.03
4.06,4.05,4.06,4.08
4.07,4.05,4.07,4.07
4.08,4.06,4.08,4.08
4.08,4.06,4.06,4.08
4.08,4.06,4.08,4.06
