627,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
694,16.57,4.14,4.14,4.14,4.16,173.53,0.44,
760,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
827,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
894,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
961,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
1028,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
1095,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
1162,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
1228,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
1295,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
1362,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
1429,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
1496,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
1563,16.57,4.14,4.14,4.14,4.16,120.67,0.42,
1630,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
1697,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
1764,16.57,4.14,4.14,4.14,4.16,34.77,0.38,
1831,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
1897,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
1964,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
2031,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
2098,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
2165,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
2232,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
2299,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
2366,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
2432,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
2499,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
2566,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
2633,16.57,4.14,4.14,4.14,4.16,34.77,0.38,
2700,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
2767,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
2834,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
2901,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
2968,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
3034,16.57,4.14,4.14,4.14,4.16,28.16,0.38,
3101,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
3168,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
3235,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
3302,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
3369,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
3436,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
3503,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
3570,16.57,4.14,4.14,4.14,4.16,67.81,0.40,
3636,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
3703,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
3770,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
3837,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
3904,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
3971,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
4038,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
4105,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
4171,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
4238,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
4305,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
4372,16.57,4.14,4.14,4.14,4.16,41.38,0.39,
4439,16.57,4.14,4.14,4.14,4.16,34.77,0.38,
4506,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
4573,16.57,4.14,4.14,4.14,4.16,74.42,0.40,
4640,16.57,4.14,4.14,4.14,4.16,61.20,0.40,
4706,16.57,4.14,4.14,4.14,4.16,47.99,0.39,
4773,16.57,4.14,4.14,4.14,4.16,54.59,0.39,
